,Game,Lowest Offer,Second Offer,Price Difference
275,Rage Against The Zombies,2.99,3.9,0.9099999999999997
276,Escape Doodland,2.09,2.2,0.11000000000000032
277,Rock of Ages 2: Bigger & Boulder,5.8,5.9,0.10000000000000053
278,Star Wars Jedi Knight II: Jedi Outcast,3.49,3.5,0.009999999999999787
279,RPG Maker VX Ace - POP!: Horror City,7.74,7.75,0.009999999999999787
280,Evoland 2,5.96,6.0,0.040000000000000036
281,HITMAN: THE COMPLETE FIRST SEASON,24.99,25.74,0.75
282,Murder Mystery Adventure,0.5,0.87,0.37
283,12 is Better Than 6,2.0,2.1,0.10000000000000009
284,Wizardry 6 and 7,0.5,0.5,0.0
285,Through the Woods,5.5,6.0,0.5
286,Joggernauts,1.3,1.39,0.08999999999999986
287,SmuggleCraft,2.4,2.49,0.0900000000000003
288,Just Cause 3,14.99,15.0,0.009999999999999787
289,Speed Kills,1.99,2.0,0.010000000000000009
290,Mutant Year Zero: Road to Eden,35.0,38.5,3.5
291,Dispatcher,1.8,3.5,1.7
292,Hollow Knight,29.5,29.9,0.3999999999999986
293,Fate Tectonics,1.3,1.35,0.050000000000000044
294,Outlast,6.0,7.0,1.0
295,Reprisal Universe,1.5,2.35,0.8500000000000001
296,Gal-X-E,0.9,0.99,0.08999999999999997
297,Day D: Tower Rush,0.9,1.0,0.09999999999999998
298,Max Stern,0.9,1.0,0.09999999999999998
299,Itineris,0.9,1.0,0.09999999999999998
300,Suicide Guy: Sleepin' Deeply,2.5,2.99,0.4900000000000002
301,Plantera,0.9,1.0,0.09999999999999998
302,Jelly Killer,0.9,1.0,0.09999999999999998
303,LEGO City Undercover,16.0,18.4,2.3999999999999986
304,Fjong,0.9,1.0,0.09999999999999998
305,Luke Sidewalker,0.9,1.0,0.09999999999999998
306,There's Poop In My Soup,0.9,1.95,1.0499999999999998
307,Jellyfish,0.9,1.0,0.09999999999999998
308,She Remembered Caterpillars,0.5,0.5,0.0
309,Artania,0.9,1.0,0.09999999999999998
310,Hover,1.47,1.49,0.020000000000000018
311,Northgard,39.99,39.99,0.0
312,Zanzarah: The Hidden Portal,0.5,0.5,0.0
313,Grand Theft Auto: San Andreas,29.99,30.0,0.010000000000001563
314,Shadows on the Vatican Act I: Greed,0.99,1.0,0.010000000000000009
315,Bloodbath Kavkaz,1.29,1.3,0.010000000000000009
316,Remnants of a Beautiful Day,0.87,0.88,0.010000000000000009
317,A Hat in Time,37.98,37.99,0.010000000000005116
318,SEUM: Speedrunners from Hell,0.8,0.84,0.039999999999999925
319,Luxor HD,1.37,1.38,0.009999999999999787
320,JQ: countries,0.89,0.9,0.010000000000000009
321,Suna,0.99,1.0,0.010000000000000009
322,DARK SOULS II: Scholar of the First Sin,34.99,40.0,5.009999999999998
323,JQ: dogs & cats,0.85,0.89,0.040000000000000036
324,Envoy 2,1.4,1.48,0.08000000000000007
325,Earthworms,2.8,2.85,0.050000000000000266
326,XBall Champion,0.5,0.5,0.0
327,Jumping Tank,0.5,0.5,0.0
328,Knights and Merchants,1.12,1.13,0.009999999999999787
329,Super Hardcore,0.8,1.0,0.19999999999999996
330,PAYDAY 2: John Wick Weapon Pack,2.97,2.98,0.009999999999999787
331,Arma 3 Karts,0.94,0.95,0.010000000000000009
332,ARMA 2: Army of the Czech Republic,0.86,0.87,0.010000000000000009
333,Homeworld Remastered Collection,13.98,13.99,0.009999999999999787
