,Game,Price,Offers,Tags,Day
12446,Tick's Tales,1.0,7.0,Przygodowe,2019/05/03
12447,Neon Space 2,0.5,5.0,"Niezalezne, Akcja, Strategiczne, Przygodowe, Rekreacyjne",2019/05/03
12448,Illusoria,1.9,1.0,"Niezalezne, Przygodowe",2019/05/03
12449,Forbidden Clicker Party,1.9,1.0,"Niezalezne, RPG, Strategiczne, Przygodowe, Rekreacyjne",2019/05/03
12450,Fearsome Shadows Bundle,4.9,1.0,"Przygodowe, Rekreacyjne",2019/05/03
12451,Beach Restaurant,0.9,1.0,"Niezalezne, Symulacje, Rekreacyjne",2019/05/03
12452,NightmareZ,0.9,1.0,"Niezalezne, Akcja",2019/05/03
12453,PooSky,0.9,2.0,"Niezalezne, Rekreacyjne",2019/05/03
12454,RageBall,0.9,2.0,"Niezalezne, Sportowe",2019/05/03
12455,Jellyfish,0.9,2.0,"Niezalezne, Symulacje, Akcja, RPG, Przygodowe, Rekreacyjne",2019/05/03
12456,Planet Ancyra Chronicles,0.9,2.0,"Niezalezne, Przygodowe",2019/05/03
12457,There's Poop In My Soup,0.9,2.0,"Niezalezne, Rekreacyjne",2019/05/03
12458,Apocalypse: The Game,0.9,2.0,Akcja,2019/05/03
12459,Defense of Roman Britain,0.9,2.0,"Niezalezne, Strategiczne, Rekreacyjne",2019/05/03
12460,Fabric,0.9,2.0,Niezalezne,2019/05/03
12461,Football Mogul 15,0.9,1.0,"Symulacje, Strategiczne, Sportowe, Rekreacyjne",2019/05/03
12462,Fjong,0.9,2.0,"Niezalezne, Rekreacyjne",2019/05/03
12463,3D Tower,0.9,2.0,"Niezalezne, Rekreacyjne",2019/05/03
12464,Real ★1942★,0.9,2.0,"Niezalezne, Rekreacyjne",2019/05/03
12465,Infinity Wings - Scout & Grunt,0.9,2.0,"Niezalezne, Akcja, Rekreacyjne",2019/05/03
12466,Urban War Defense,0.9,3.0,"Wczesny dostep, Strategiczne",2019/05/03
12467,Jelly Killer,0.9,2.0,"Niezalezne, Akcja, Przygodowe, Rekreacyjne",2019/05/03
12468,Bob Was Hungry,0.9,2.0,Niezalezne,2019/05/03
12469,Graveyard Smash,0.9,2.0,"Niezalezne, Akcja, Rekreacyjne",2019/05/03
12470,Plantera,0.9,2.0,"Niezalezne, Symulacje, Rekreacyjne",2019/05/03
12471,Itineris,0.9,2.0,"Niezalezne, Przygodowe, Rekreacyjne",2019/05/03
12472,Day D: Tower Rush,0.9,2.0,"Niezalezne, Strategiczne, Rekreacyjne",2019/05/03
12473,Max Stern,0.9,2.0,"Niezalezne, Akcja, Przygodowe",2019/05/03
12474,AdvertCity,4.8,1.0,"Niezalezne, Symulacje, Strategiczne",2019/05/03
12475,FATE: Undiscovered Realms,4.8,3.0,"Akcja, RPG, Przygodowe",2019/05/03
12476,R.O.O.T.S,1.5,1.0,"Niezalezne, Strategiczne, Rekreacyjne",2019/05/03
12477,Laser Lasso BALL,1.49,2.0,"Niezalezne, Akcja, Sportowe",2019/05/03
12478,AoF Chess Club,0.6,2.0,"Niezalezne, Strategiczne, Rekreacyjne, MMO",2019/05/03
12479,Age of Steel: Recharge,0.6,2.0,"Niezalezne, Akcja, Strategiczne, Rekreacyjne",2019/05/03
12480,Rocketbirds: Hardboiled Chicken,2.19,7.0,"Niezalezne, Przygodowe",2019/05/03
12481,Robot Roller-Derby Disco Dodgeball,1.99,3.0,"Niezalezne, Akcja, Sportowe",2019/05/03
12482,Ballpoint Universe - Infinite,2.28,1.0,"Niezalezne, Akcja",2019/05/03
12483,HOARD Complete Pack,3.9,3.0,"Niezalezne, Akcja, Strategiczne, Rekreacyjne",2019/05/03
12484,Leviathan: The Last Day of the Decade,2.49,3.0,"Niezalezne, Przygodowe",2019/05/03
12485,Musclecar Online,2.49,1.0,"Niezalezne, Wyscigi, Rekreacyjne, MMO",2019/05/03
12486,Procyon,2.49,3.0,"Niezalezne, Akcja",2019/05/03
12487,Yosumin!,0.5,3.0,Rekreacyjne,2019/05/03
12488,High Cats,0.5,2.0,"Niezalezne, Wyscigi",2019/05/03
12489,Gelu,2.0,1.0,"Niezalezne, Rekreacyjne",2019/05/03
12490,Piggy Princess,2.0,1.0,"Niezalezne, Akcja, Rekreacyjne",2019/05/03
12491,Spectre,0.6,3.0,"Niezalezne, Symulacje, Strategiczne",2019/05/03
12492,Store Manager: Cellular Edition,0.95,2.0,"Niezalezne, Symulacje, Strategiczne",2019/05/03
12493,Grimoire: Manastorm,2.0,1.0,"Niezalezne, Akcja, Darmowe",2019/05/03
12494,Soccertron,4.0,1.0,"Niezalezne, Akcja, Sportowe",2019/05/03
12495,Immune - True Survival,0.79,3.0,"Niezalezne, Akcja, RPG, Przygodowe, MMO",2019/05/03
12496,The Oil Blue: Steam Legacy Edition,0.9,2.0,"Niezalezne, Symulacje, Strategiczne",2019/05/03
12497,DAMAGE CONTROL,0.8,3.0,"Niezalezne, Symulacje, Wczesny dostep, Akcja",2019/05/03
12498,Dracula: The Resurrection,1.2,4.0,"Przygodowe, Rekreacyjne",2019/05/03
12499,RUINER,15.0,4.0,"Niezalezne, Akcja",2019/05/03
12500,Shooty Squad,0.5,3.0,"Wczesny dostep, Akcja, Rekreacyjne",2019/05/03
12501,Ladybird Reflect,1.0,1.0,"Niezalezne, Rekreacyjne",2019/05/03
12502,Showtime!,0.8,4.0,"Niezalezne, Symulacje, Strategiczne, Rekreacyjne",2019/05/03
12503,Daily Chthonicle: Editor's Edition,0.9,3.0,"Niezalezne, Symulacje, RPG, Przygodowe, Rekreacyjne",2019/05/03
12504,Earth 2140,3.5,3.0,Strategiczne,2019/05/03
12505,Dark and Bright,0.5,2.0,"Niezalezne, RPG",2019/05/03
12506,Rest House,0.69,2.0,"Wczesny dostep, Przygodowe",2019/05/03
12507,Bullet Life 2010,0.5,1.0,"Niezalezne, Akcja",2019/05/03
12508,Sweet Girl Adventure,0.5,2.0,"Niezalezne, Przygodowe, Rekreacyjne",2019/05/03
12509,Deadbreed,0.5,1.0,"Niezalezne, Wczesny dostep, Akcja, RPG, Strategiczne",2019/05/03
12510,Drive Megapolis,0.5,5.0,"Niezalezne, Symulacje, Wyscigi, Rekreacyjne",2019/05/03
12511,Mother Russia Bleeds,24.99,2.0,"Niezalezne, Akcja",2019/05/03
12512,S.T.A.L.K.E.R.: Call of Pripyat,25.0,1.0,"Akcja, RPG",2019/05/03
12513,The Dweller,0.5,4.0,"Niezalezne, Symulacje, Strategiczne, Rekreacyjne",2019/05/03
12514,Kelvin and the Infamous Machine,3.99,5.0,"Niezalezne, Przygodowe",2019/05/03
12515,FACE,0.5,2.0,"Niezalezne, Przygodowe",2019/05/03
12516,NYAN DESTROYER,0.9,1.0,"Niezalezne, Akcja, Rekreacyjne",2019/05/03
12517,Betrayer,0.8,4.0,"Niezalezne, Akcja, Przygodowe",2019/05/03
12518,Deep Space Dash,0.5,6.0,"Niezalezne, Akcja, Rekreacyjne",2019/05/03
12519,Swords and Soldiers HD,4.0,2.0,"Niezalezne, Akcja, Strategiczne, Rekreacyjne",2019/05/03
12520,Beast Boxing Turbo,6.8,1.0,"Niezalezne, Akcja, Sportowe",2019/05/03
12521,Nary,0.5,3.0,"Niezalezne, Akcja",2019/05/03
12522,Jump Like A Pirate,0.5,3.0,"Niezalezne, Akcja, Przygodowe",2019/05/03
12523,P-Walker's Simulation,0.5,2.0,"Niezalezne, Symulacje, Wczesny dostep, Akcja, Przygodowe, Wyscigi",2019/05/03
12524,Maze Lord,0.5,8.0,"Niezalezne, Strategiczne",2019/05/03
12525,1 Moment Of Time: Silentville,0.5,5.0,"Niezalezne, Przygodowe",2019/05/03
12526,Painkiller Overdose,4.99,1.0,Akcja,2019/05/03
12527,Huntsman: The Orphanage,0.5,10.0,"Niezalezne, Akcja, Przygodowe",2019/05/03
12528,Tesla Breaks the World!,0.7,1.0,"Niezalezne, Przygodowe",2019/05/03
12529,Alone (Killed Pixel Games),1.0,1.0,"Niezalezne, Symulacje, Strategiczne, Przygodowe",2019/05/03
12530,ANTIFECTOR,3.89,1.0,"Niezalezne, Akcja, Rekreacyjne",2019/05/03
12531,"Warhammer 40,000: Dawn of War - Gold Edition",9.0,1.0,Strategiczne,2019/05/03
12532,Lakeview Cabin Collection,0.5,4.0,Niezalezne,2019/05/03
12533,Pilot Crusader,0.5,4.0,"Niezalezne, Akcja",2019/05/03
12534,Cooking Academy Fire and Knives,0.5,3.0,"Akcja, Rekreacyjne",2019/05/03
12535,The 39 Steps,0.55,4.0,"Niezalezne, Przygodowe, Rekreacyjne",2019/05/03
12536,Cataegis : The White Wind,0.95,1.0,"Niezalezne, Akcja",2019/05/03
12537,Tinboy,0.5,2.0,"Niezalezne, Rekreacyjne",2019/05/03
12538,Nuclear 2050,0.5,2.0,"Niezalezne, Wczesny dostep, Akcja, Przygodowe",2019/05/03
12539,Cannon Fodder 3,5.0,4.0,Akcja,2019/05/03
12540,Alan Wake Collector's Edition,12.0,1.0,"Akcja, Przygodowe",2019/05/03
12541,Infested Planet - Trickster's Arsenal,0.5,10.0,"Niezalezne, Akcja, Strategiczne",2019/05/03
12542,Lords Of The Fallen,6.0,2.0,"Akcja, RPG",2019/05/03
12543,The mutton horn - Jump jump!,0.5,1.0,"Niezalezne, Rekreacyjne",2019/05/03
12544,Sudoku Zenkai,1.2,1.0,"Niezalezne, Strategiczne, Rekreacyjne",2019/05/03
12545,Magical Brickout,1.0,1.0,"Niezalezne, Akcja, Rekreacyjne",2019/05/03
12546,Monsterland,0.9,1.0,"Niezalezne, Akcja, Przygodowe",2019/05/03
12547,Infinite Space III: Sea of Stars,1.2,1.0,"Niezalezne, Przygodowe",2019/05/03
12548,Apez,0.6,3.0,"Niezalezne, Akcja",2019/05/03
12549,Tormentor❌Punisher,1.0,5.0,"Niezalezne, Akcja",2019/05/03
12550,Finnish Roller,1.0,1.0,"Niezalezne, Akcja, Przygodowe, Rekreacyjne",2019/05/03
12551,Point Perfect,0.99,1.0,"Niezalezne, Akcja, Rekreacyjne",2019/05/03
12552,Putrefaction,1.1,1.0,"Niezalezne, Akcja",2019/05/03
12553,On A Roll 3D,0.8,1.0,"Niezalezne, Akcja, Przygodowe, Rekreacyjne",2019/05/03
12554,Mission Pack 2: Extreme Battle,0.5,1.0,Akcja,2019/05/03
12555,Mission Pack 1: Time of the Mutants,0.5,1.0,Akcja,2019/05/03
12556,Penarium,0.5,13.0,"Niezalezne, Akcja",2019/05/03
12557,The Last Remnant,40.0,1.0,RPG,2019/05/03
12558,Shantae and the Pirate's Curse,15.0,1.0,"Niezalezne, Akcja, RPG, Przygodowe",2019/05/03
12559,The Crypts of Anak Shaba - VR,0.5,3.0,"Niezalezne, Symulacje, Akcja, RPG, Przygodowe, Rekreacyjne",2019/05/03
12560,Quadrant M4,0.5,1.0,"Niezalezne, Akcja, Strategiczne, Rekreacyjne",2019/05/03
12561,Your Ball Exploded,0.5,1.0,"Niezalezne, Rekreacyjne",2019/05/03
12562,Crow,0.9,1.0,"Niezalezne, Akcja, Przygodowe",2019/05/03
12563,Defend Your Life,1.1,8.0,"Niezalezne, Akcja, Strategiczne, Rekreacyjne",2019/05/03
12564,Skein,4.5,2.0,"Niezalezne, Akcja, Rekreacyjne",2019/05/03
12565,Endless Fables: The Minotaur's Curse,3.0,6.0,"Przygodowe, Rekreacyjne",2019/05/03
12566,MegaRace 1,0.89,8.0,"Akcja, Wyscigi",2019/05/03
12567,Desert Law,1.4,2.0,"RPG, Strategiczne",2019/05/03
12568,Running Man 3D,0.5,3.0,"Niezalezne, Symulacje, Przygodowe",2019/05/03
12569,The Elder Scrolls: Legends - Humble Monthly Bundle In-game Content,1.8,2.0,,2019/05/03
12570,Unforgiving Trials: The Darkest Crusade,0.5,7.0,"Niezalezne, RPG, Przygodowe",2019/05/03
12571,Stickman Racer Road Draw 2,1.99,1.0,"Symulacje, Akcja, Wyscigi, Rekreacyjne",2019/05/03
12572,Frog Climbers,4.0,1.0,Niezalezne,2019/05/03
12573,Hentai Girl in Space,1.99,1.0,"Akcja, Rekreacyjne",2019/05/03
12574,Deep Ones,0.5,4.0,"Niezalezne, Akcja, Przygodowe",2019/05/03
12575,Hoven the Sages Spinel,1.0,1.0,"Niezalezne, RPG, Przygodowe, Rekreacyjne",2019/05/03
12576,Rock of Ages 2 - Classic Pack,0.99,1.0,"Niezalezne, Akcja, Strategiczne, Wyscigi",2019/05/03
12577,Moribund,9.99,1.0,"Niezalezne, Akcja",2019/05/03
12578,Door Kickers,10.0,2.0,"Niezalezne, Symulacje, Akcja, Strategiczne",2019/05/03
12579,Sniper: Ghost Warrior 2,1.5,12.0,Akcja,2019/05/03
12580,Spec Ops: The Line,2.93,6.0,"Akcja, Przygodowe",2019/05/03
12581,Hentai Shooter 2: World Tour,1.5,1.0,Akcja,2019/05/03
12582,PUSSY 2,1.99,1.0,"Niezalezne, Sportowe, Rekreacyjne",2019/05/03
12583,The Slug,0.9,1.0,"Niezalezne, Przygodowe, Rekreacyjne",2019/05/03
12584,"Invisible, Inc.",29.99,1.0,"Niezalezne, Akcja, Strategiczne",2019/05/03
12585,Dojini,0.5,1.0,"Niezalezne, Akcja, Przygodowe, Rekreacyjne",2019/05/03
12586,Overture,1.04,3.0,"Niezalezne, Akcja, RPG, Strategiczne, Przygodowe, Rekreacyjne",2019/05/03
12587,The Escapists + The Escapists: The Walking Dead Deluxe,15.99,1.0,"Niezalezne, Symulacje, Akcja, Strategiczne, Przygodowe",2019/05/03
12588,Gunpoint,7.5,1.0,"Niezalezne, Akcja, Strategiczne",2019/05/03
12589,Gloria Victis,19.99,3.0,"Niezalezne, Symulacje, Wczesny dostep, Akcja, RPG, Przygodowe, MMO",2019/05/03
12590,Human Resource Machine,23.99,1.0,"Niezalezne, Rekreacyjne",2019/05/03
12591,FEZ,9.99,1.0,Niezalezne,2019/05/03
12592,Amnesia: A Machine for Pigs,23.99,1.0,"Niezalezne, Akcja, Przygodowe",2019/05/03
12593,The Incredible Adventures of Van Helsing,6.0,2.0,"Niezalezne, Akcja, RPG, Przygodowe",2019/05/03
12594,Memoranda,2.2,4.0,"Niezalezne, Przygodowe",2019/05/03
12595,Dracula's Library,0.5,3.0,"Niezalezne, Symulacje, Akcja, RPG, Przygodowe, Rekreacyjne",2019/05/03
12596,Battle Academy,3.0,3.0,Strategiczne,2019/05/03
12597,Torch Cave,1.0,1.0,"Niezalezne, Rekreacyjne",2019/05/03
12598,The Deed,0.5,9.0,"RPG, Przygodowe",2019/05/03
12599,Tropico 5 Complete Collection,44.99,1.0,"Symulacje, RPG, Strategiczne",2019/05/03
12600,Casino Noir,1.49,1.0,"Niezalezne, Przygodowe",2019/05/03
12601,Rolling Sun,0.5,8.0,"Niezalezne, Strategiczne, Przygodowe",2019/05/03
12602,Q.U.B.E: Director's Cut,3.5,4.0,"Niezalezne, Akcja, Przygodowe",2019/05/03
12603,Reroll: Back to the throne,1.5,2.0,"Niezalezne, Przygodowe, Rekreacyjne",2019/05/03
12604,The Orphan Dreams,0.5,5.0,"Niezalezne, RPG, Przygodowe, Rekreacyjne",2019/05/03
12605,Small Radios Big Televisions,0.89,4.0,"Niezalezne, Przygodowe",2019/05/03
12606,FreeFly Burning,0.5,2.0,"Niezalezne, Symulacje, Akcja, Rekreacyjne",2019/05/03
12607,Road to Ballhalla,0.5,11.0,"Niezalezne, Akcja, Przygodowe, Wyscigi",2019/05/03
12608,Joumee The Hedgehog,5.0,1.0,"Niezalezne, Wczesny dostep, Przygodowe, Rekreacyjne",2019/05/03
12609,Fish Fillets 2,0.5,3.0,"Niezalezne, Rekreacyjne",2019/05/03
12610,BRAWL,6.8,1.0,"Niezalezne, Akcja",2019/05/03
12611,Heaven & Hell,3.0,1.0,Rekreacyjne,2019/05/03
12612,Broken Sword 2 - the Smoking Mirror: Remastered,2.0,1.0,Przygodowe,2019/05/03
12613,Hidden Object Bundle 5 in 1,5.0,1.0,"Przygodowe, Rekreacyjne",2019/05/03
12614,Red Faction: Armageddon,10.0,2.0,Akcja,2019/05/03
12615,Helltown,0.7,2.0,"Niezalezne, Przygodowe",2019/05/03
12616,Tiny Mage,0.9,2.0,"Niezalezne, Symulacje, Przygodowe, Rekreacyjne",2019/05/03
12617,Free Bowling 3D,0.9,1.0,Rekreacyjne,2019/05/03
12618,Aqua Fish (Starodymov),0.9,1.0,"Niezalezne, Akcja, Strategiczne, Rekreacyjne",2019/05/03
12619,Shattered God - Quest for the Divine Relic,0.9,1.0,"Niezalezne, Akcja, RPG, Przygodowe",2019/05/03
12620,ROMBY,0.9,1.0,"Niezalezne, Strategiczne, Rekreacyjne",2019/05/03
12621,Spectrubes Infinity,0.9,1.0,"Niezalezne, Przygodowe",2019/05/03
12622,Beast Mode: Night of the Werewolf,0.9,1.0,Akcja,2019/05/03
12623,Trivia Vault: Mini Mixed Trivia 2,0.9,1.0,"Niezalezne, Symulacje, Akcja, Strategiczne, Rekreacyjne",2019/05/03
12624,Trivia Vault: Super Heroes Trivia,0.9,1.0,"Niezalezne, Symulacje, Strategiczne, Rekreacyjne",2019/05/03
12625,Trivia Vault: Science & History Trivia,0.9,1.0,"Niezalezne, Symulacje, Strategiczne, Rekreacyjne",2019/05/03
12626,Lightform,0.9,1.0,"Niezalezne, Przygodowe",2019/05/03
12627,Grav Blazer Squared,0.9,1.0,"Niezalezne, Akcja, Rekreacyjne",2019/05/03
12628,Professor Watts Memory Match: Cute Animals,0.9,1.0,Rekreacyjne,2019/05/03
12629,Professor Watts Memory Match: Yummy Cupcakes,0.9,1.0,Rekreacyjne,2019/05/03
12630,Professor Watts Word Search: Space Voyage,0.9,1.0,"Niezalezne, Strategiczne, Rekreacyjne",2019/05/03
12631,Professor Watts Word Search: Yummy Foods,0.9,1.0,"Niezalezne, Strategiczne, Rekreacyjne",2019/05/03
12632,Puzzle Monarch: Vampires,0.9,1.0,"Niezalezne, Strategiczne, Rekreacyjne",2019/05/03
12633,Rencounter,0.59,9.0,"Niezalezne, RPG, Strategiczne",2019/05/03
12634,Stories of Bethem: Full Moon,7.0,1.0,"Niezalezne, Akcja, RPG, Przygodowe",2019/05/03
12635,Trench Run,1.5,1.0,"Niezalezne, Akcja, Rekreacyjne",2019/05/03
12636,Hit Tank PRO,0.8,3.0,"Niezalezne, Akcja, Strategiczne, Przygodowe, Rekreacyjne",2019/05/03
12637,The Bad Gravedigger,0.5,1.0,"Niezalezne, Akcja, Przygodowe",2019/05/03
12638,"Warhammer 40,000: Space Wolf",6.0,5.0,"Akcja, Strategiczne",2019/05/03
12639,Strategy & Tactics: Wargame Collection,1.0,4.0,Strategiczne,2019/05/03
12640,Plancon: Space Conflict,0.66,3.0,"Akcja, RPG",2019/05/03
12641,Marble Duel,0.99,3.0,"Niezalezne, Rekreacyjne",2019/05/03
12642,An Alien with a Magnet,0.9,1.0,"Niezalezne, Przygodowe, Rekreacyjne",2019/05/03
12643,Triple Otakus Puzzle,0.9,1.0,"Niezalezne, Rekreacyjne",2019/05/03
12644,Cyber Utopia,0.7,2.0,"Akcja, Przygodowe, Rekreacyjne",2019/05/03
12645,Bumper,0.7,3.0,"Niezalezne, Akcja, Rekreacyjne",2019/05/03
12646,Nightork Adventures - Beyond the Moons of Shadalee,0.9,1.0,"Niezalezne, Symulacje, Akcja",2019/05/03
12647,Unearthing Colossal,6.9,1.0,"Niezalezne, Akcja, Przygodowe",2019/05/03
12648,Steel Punk Ball,0.9,2.0,"Niezalezne, Akcja, Strategiczne, Przygodowe, Rekreacyjne",2019/05/03
12649,70 Seconds Survival,4.99,1.0,"Niezalezne, Wyscigi, Rekreacyjne",2019/05/03
12650,Athopiu - The Final Rebirth of Hopeless Incarnate,0.5,1.0,"Niezalezne, RPG, Strategiczne, Przygodowe, Rekreacyjne",2019/05/03
12651,Invasion,0.5,5.0,"Niezalezne, Akcja",2019/05/03
12652,F1 RACE STARS + Season Pass,4.99,2.0,Wyscigi,2019/05/03
12653,Wolfenstein: The New Order,20.0,1.0,Akcja,2019/05/03
12654,Dark SASI,3.99,1.0,"Niezalezne, Symulacje, Akcja, RPG, Strategiczne, Przygodowe, Sportowe",2019/05/03
12655,Dark Passenger,1.99,1.0,"Niezalezne, Akcja, Rekreacyjne",2019/05/03
12656,D/Generation HD,4.99,1.0,Przygodowe,2019/05/03
12657,Crimson Sword Saga: The Peloran Wars,1.5,1.0,"Niezalezne, RPG",2019/05/03
12658,Cow Milking Simulator,2.99,1.0,"Niezalezne, Rekreacyjne",2019/05/03
12659,Autumn Dream,2.89,1.0,"Niezalezne, Akcja, Przygodowe",2019/05/03
12660,Conquer,7.99,1.0,"Niezalezne, Akcja, Przygodowe",2019/05/03
12661,Ball of Wonder,2.99,1.0,"Niezalezne, Rekreacyjne",2019/05/03
12662,Ascent - The Space Game,6.99,1.0,"Niezalezne, Symulacje, Strategiczne, MMO",2019/05/03
12663,Ascension to the Throne,1.99,1.0,"RPG, Strategiczne",2019/05/03
12664,Albino Lullaby: Episode 1,5.99,1.0,"Niezalezne, Akcja, Przygodowe",2019/05/03
12665,Fallout New Vegas: Gun Runners' Arsenal,2.99,1.0,"Akcja, RPG",2019/05/03
12666,Airplane Sky Voyage,3.99,1.0,"Niezalezne, Symulacje",2019/05/03
12667,Achievement Machine,2.99,1.0,"Niezalezne, Rekreacyjne",2019/05/03
12668,Wrack,0.89,2.0,"Niezalezne, Akcja",2019/05/03
12669,The Count Lucanor,1.7,4.0,"Niezalezne, RPG, Przygodowe",2019/05/03
12670,Smile'N'Slide,2.99,1.0,"Niezalezne, Akcja",2019/05/03
12671,Defense Technica,2.99,1.0,"Niezalezne, Strategiczne",2019/05/03
12672,Epic Mayhem,2.99,1.0,"Niezalezne, Akcja, Wyscigi, Sportowe, Rekreacyjne",2019/05/03
12673,Max Payne 3 Rockstar Pass,3.44,5.0,Akcja,2019/05/03
12674,American Truck Simulator - Heavy Cargo Pack,9.0,1.0,"Niezalezne, Symulacje",2019/05/03
12675,Zoombinis,0.59,8.0,"Przygodowe, Rekreacyjne",2019/05/03
12676,Camp Sunshine,2.9,1.0,"Niezalezne, Akcja, Przygodowe, Rekreacyjne",2019/05/03
12677,Damnation,3.0,4.0,"Akcja, Przygodowe",2019/05/03
12678,Undercity,2.2,1.0,"Niezalezne, Akcja",2019/05/03
12679,Your Home,1.99,1.0,"Niezalezne, Rekreacyjne",2019/05/03
12680,Wet Beach Pussies,2.25,1.0,"Niezalezne, Symulacje, RPG, Sportowe, Rekreacyjne",2019/05/03
12681,A Long Way Home,3.99,1.0,"Niezalezne, Przygodowe, Rekreacyjne",2019/05/03
12682,A Hand in the Darkness,4.99,1.0,Niezalezne,2019/05/03
12683,RefleX,1.0,5.0,"Niezalezne, Akcja",2019/05/03
12684,Batman: Arkham Knight Season Pass,14.98,1.0,"Akcja, Przygodowe",2019/05/03
12685,The Uncertain: Episode 1 - The Last Quiet Day,2.5,6.0,"Niezalezne, Przygodowe",2019/05/03
12686,Outrunner,0.8,1.0,"Niezalezne, Akcja, Przygodowe, Rekreacyjne",2019/05/03
12687,Realm of the Ghost King,3.99,1.0,"Niezalezne, RPG, Strategiczne",2019/05/03
12688,Zombie Wars: Invasion,0.9,1.0,"Niezalezne, Strategiczne, Rekreacyjne",2019/05/03
12689,Strangers of the Power 2,3.5,1.0,"Niezalezne, RPG, Rekreacyjne",2019/05/03
12690,the Line,0.5,3.0,"Niezalezne, Symulacje, Przygodowe",2019/05/03
12691,Hentai Puzzle,0.5,3.0,"Niezalezne, Rekreacyjne",2019/05/03
12692,Monster Truck Destruction,1.1,2.0,"Akcja, Wyscigi",2019/05/03
12693,Icycle: On Thin Ice,5.0,1.0,"Niezalezne, Akcja, Przygodowe",2019/05/03
12694,ARENA GODS,4.0,1.0,"Niezalezne, Wczesny dostep, Akcja, Sportowe",2019/05/03
12695,Has-Been Heroes,4.5,5.0,"Niezalezne, Akcja, RPG, Strategiczne",2019/05/03
12696,Tuebor: I Will Defend,1.0,2.0,"Niezalezne, Wczesny dostep, Akcja, Sportowe, Rekreacyjne",2019/05/03
12697,BlobCat,1.25,2.0,"Niezalezne, Strategiczne, Rekreacyjne",2019/05/03
12698,The Padre,3.99,3.0,"Niezalezne, Akcja, Przygodowe",2019/05/03
12699,Great eSports Manager,1.49,2.0,"Niezalezne, Symulacje, RPG, Strategiczne, Sportowe, Rekreacyjne",2019/05/03
12700,Use Your Words,15.0,2.0,"Niezalezne, Rekreacyjne",2019/05/03
12701,BlockGame,2.0,1.0,"Niezalezne, Rekreacyjne",2019/05/03
12702,Songs of Araiah: Re-Mastered Edition,9.99,1.0,"Niezalezne, RPG, Przygodowe, Rekreacyjne",2019/05/03
12703,World of One,4.99,1.0,"Niezalezne, Akcja, Przygodowe",2019/05/03
12704,Original Journey,6.99,1.0,"Niezalezne, Akcja, RPG, Przygodowe",2019/05/03
12705,Seasons after Fall,3.5,6.0,"Niezalezne, Przygodowe",2019/05/03
12706,Phantaruk,1.0,10.0,"Niezalezne, Akcja, Przygodowe",2019/05/03
12707,Gyromancer,0.99,3.0,RPG,2019/05/03
12708,Dangerous High School Girls in Trouble!,1.49,2.0,"Niezalezne, RPG, Rekreacyjne",2019/05/03
12709,Duke of Alpha Centauri,1.49,1.0,"Niezalezne, Akcja, Rekreacyjne",2019/05/03
12710,Dead Island Riptide: Complete Edition,20.0,1.0,"Akcja, RPG",2019/05/03
12711,Super Time Force Ultra,8.0,1.0,"Niezalezne, Akcja",2019/05/03
12712,Expand - Soundtrack Edition,1.7,2.0,"Niezalezne, Przygodowe",2019/05/03
12713,Twin Sector,4.99,1.0,"Akcja, Przygodowe",2019/05/03
12714,The Last Hope: Atomic Bomb - Crypto War,1.7,1.0,"Niezalezne, Akcja, Przygodowe",2019/05/03
12715,Redneck Rampage,9.5,1.0,"Akcja, RPG, Przygodowe, Rekreacyjne",2019/05/03
12716,Treeker: The Lost Glasses,1.99,1.0,"Niezalezne, Przygodowe",2019/05/03
12717,Bad Hotel,0.99,2.0,"Niezalezne, Rekreacyjne",2019/05/03
12718,Epic Showdown,1.4,2.0,"Niezalezne, Akcja, Rekreacyjne",2019/05/03
12719,Pitiri 1977,4.99,1.0,"Niezalezne, RPG, Przygodowe",2019/05/03
12720,Death Ray Manta,1.69,2.0,"Niezalezne, Akcja",2019/05/03
12721,Weird Worlds: Return to Infinite Space,1.5,1.0,"Niezalezne, Strategiczne, Przygodowe, Rekreacyjne",2019/05/03
12722,The Body Changer,1.55,1.0,"Niezalezne, Akcja, Przygodowe",2019/05/03
12723,Gold Rush! Anniversary,1.5,3.0,"Niezalezne, Strategiczne, Przygodowe",2019/05/03
12724,The Original Strife: Veteran Edition,1.0,4.0,"Akcja, RPG",2019/05/03
12725,Omerta - City of Gangsters,5.0,3.0,"Symulacje, Strategiczne",2019/05/03
12726,Diadra Empty,0.5,2.0,"Niezalezne, Akcja",2019/05/03
12727,Slave Zero,1.85,2.0,Akcja,2019/05/03
12728,Raptor: Call of the Shadows,3.99,1.0,Akcja,2019/05/03
12729,Agatha Christie - The ABC Murders,2.0,10.0,Przygodowe,2019/05/03
12730,VVVVVV,1.9,1.0,"Niezalezne, Akcja",2019/05/03
12731,Comedy Night,0.5,2.0,"Niezalezne, Symulacje, Rekreacyjne",2019/05/03
12732,Rogue Warrior,5.5,1.0,Akcja,2019/05/03
12733,ShipLord,0.5,2.0,"Niezalezne, Akcja, Przygodowe, Rekreacyjne",2019/05/03
12734,BAE,0.5,2.0,"Niezalezne, Rekreacyjne",2019/05/03
12735,Hentai Puzzle Classic,2.5,1.0,Niezalezne,2019/05/03
12736,Rogue Legacy,25.0,1.0,"Niezalezne, Akcja, RPG, Przygodowe",2019/05/03
12737,Risen,15.0,3.0,RPG,2019/05/03
