,Game,Price,Offers,Tags,Day
257,Don't Stand Out,1.19,2.0,"Niezalezne, Wczesny dostep, Akcja, MMO",2019/05/02
258,BlackSmith HIT,1.44,4.0,"Niezalezne, Akcja, Rekreacyjne",2019/05/02
259,Fairy Fencer F ADF Deluxe Pack,3.99,3.0,RPG,2019/05/02
260,Pix the Cat,0.89,2.0,"Niezalezne, Akcja",2019/05/02
261,Escape Goat 2,5.99,6.0,"Niezalezne, Akcja, Rekreacyjne",2019/05/02
262,Metal Fatigue,3.99,2.0,Strategiczne,2019/05/02
263,Dustforce DX,3.99,2.0,"Niezalezne, Akcja",2019/05/02
264,Marble Skies,0.99,5.0,"Niezalezne, Symulacje, Wczesny dostep, Akcja, Strategiczne, Przygodowe, Wyscigi, Rekreacyjne",2019/05/02
265,Fluffy Horde,4.99,2.0,"Niezalezne, Akcja, Strategiczne",2019/05/02
266,UNLOVED,1.0,5.0,Akcja,2019/05/02
267,Commands & Colors: The Great War,2.69,7.0,Strategiczne,2019/05/02
268,A Normal Lost Phone,3.49,4.0,"Niezalezne, Rekreacyjne",2019/05/02
269,Fairy Fencer F,3.98,5.0,RPG,2019/05/02
270,Secrets of Magic: The Book of Spells,0.79,2.0,"Niezalezne, Rekreacyjne",2019/05/02
271,Outpost Zero,1.99,10.0,"Niezalezne, Symulacje, Wczesny dostep, Akcja, Przygodowe",2019/05/02
272,Pixelpunk XL,1.99,4.0,"Niezalezne, Akcja",2019/05/02
273,Last Encounter,1.48,7.0,"Niezalezne, Akcja",2019/05/02
274,Cloudborn,0.75,6.0,"Niezalezne, Przygodowe",2019/05/02
275,Far from Noise,4.96,4.0,"Niezalezne, Rekreacyjne",2019/05/02
276,Super Cloudbuilt,1.0,7.0,"Niezalezne, Akcja",2019/05/02
277,Castle of no Escape 2,0.98,3.0,"Niezalezne, Akcja",2019/05/02
278,Fumiko!,0.92,6.0,"Niezalezne, Przygodowe",2019/05/02
279,Shadwen,4.99,1.0,"Akcja, Przygodowe",2019/05/02
280,Clinically Dead,2.39,5.0,"Niezalezne, Akcja, Przygodowe",2019/05/02
281,Lords of the Fallen Game of the Year Edition,9.99,4.0,"Akcja, RPG",2019/05/02
282,The Coma: Recut,3.89,3.0,"Niezalezne, Akcja, Przygodowe",2019/05/02
